广东荔枝,#genre#
parse=1
ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36

广东卫视,http://php.jdshipin.com:8880/chudian.php?id=gdws
广东珠江,http://php.jdshipin.com:8880/chudian.php?id=gdzj
广东新闻,http://php.jdshipin.com:8880/chudian.php?id=gdxw
广东体育,http://php.jdshipin.com:8880/chudian.php?id=gdty
广东民生,http://php.jdshipin.com:8880/chudian.php?id=gdms
广东影视,http://php.jdshipin.com:8880/chudian.php?id=gdys
广东少儿,http://php.jdshipin.com:8880/chudian.php?id=gdse
广东移动,http://php.jdshipin.com:8880/chudian.php?id=gdyd
广东4K,http://php.jdshipin.com:8880/chudian.php?id=gdzy
大湾区卫视,http://php.jdshipin.com:8880/chudian.php?id=nfws
大湾区卫视（海外版）,http://php.jdshipin.com:8880/chudian.php?id=gdgj
广东经济科教,http://php.jdshipin.com:8880/chudian.php?id=gdjjkj
广东嘉佳卡通,http://php.jdshipin.com:8880/chudian.php?id=jjkt

广东卫视,https://www.gdtv.cn/tvChannelDetail/43
广东珠江,https://www.gdtv.cn/tvChannelDetail/44
广东新闻,https://www.gdtv.cn/tvChannelDetail/45
广东体育,https://www.gdtv.cn/tvChannelDetail/47
广东民生,https://www.gdtv.cn/tvChannelDetail/48
广东影视,https://www.gdtv.cn/tvChannelDetail/53
广东少儿,https://www.gdtv.cn/tvChannelDetail/54
广东移动,https://www.gdtv.cn/tvChannelDetail/74
广东4K,https://www.gdtv.cn/tvChannelDetail/16
大湾区卫视,https://www.gdtv.cn/tvChannelDetail/51
大湾区卫视（海外版）,https://www.gdtv.cn/tvChannelDetail/46
广东经济科教,https://www.gdtv.cn/tvChannelDetail/49
广东嘉佳卡通,https://www.gdtv.cn/tvChannelDetail/66
广东现代教育,https://www.gdtv.cn/tvChannelDetail/13
广东岭南戏曲,https://www.gdtv.cn/tvChannelDetail/15
广东南方购物,https://www.gdtv.cn/tvChannelDetail/42
纪录片,https://www.gdtv.cn/tvChannelDetail/94
荔枝台,https://www.gdtv.cn/tvChannelDetail/100
GRTN文化频道,https://www.gdtv.cn/tvChannelDetail/75
GRTN健康频道,https://www.gdtv.cn/tvChannelDetail/99
GRTN生活频道,https://www.gdtv.cn/tvChannelDetail/102
GRTN教育频道,https://www.gdtv.cn/tvChannelDetail/104

纪录片,http://glive.grtn.cn/live/jilupian.m3u8
荔枝台,http://glive.grtn.cn/live/lizhi.m3u8
GRTN文化频道,https://glive.grtn.cn/live/wenhua_test0203.m3u8
GRTN文化频道,http://php.jdshipin.com:8880/chudian.php?id=gdwh
GRTN健康频道,http://glive.grtn.cn/live/health.m3u8
GRTN生活频道,http://glive.grtn.cn/live/life.m3u8

广东深圳,#genre#
parse=1
ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36

深圳卫视,https://www.sztv.com.cn/dianshi.shtml?id=7867
深圳都市,https://www.sztv.com.cn/dianshi.shtml?id=7868
深圳电视剧,https://www.sztv.com.cn/dianshi.shtml?id=7880
深圳公共,https://www.sztv.com.cn/dianshi.shtml?id=7874
深圳财经,https://www.sztv.com.cn/dianshi.shtml?id=7871
深圳娱乐,https://www.sztv.com.cn/dianshi.shtml?id=7872
深圳少儿,https://www.sztv.com.cn/dianshi.shtml?id=7881
深圳移动,https://www.sztv.com.cn/dianshi.shtml?id=7869
深圳国际,https://www.sztv.com.cn/dianshi.shtml?id=7944
宜和购物,https://www.sztv.com.cn/dianshi.shtml?id=7878

广东地方,#genre#
吴川综合,http://php.jdshipin.com:8880/chudian.php?id=wczh
廉江综合,http://php.jdshipin.com:8880/chudian.php?id=ljzh
徐闻综合,http://php.jdshipin.com:8880/chudian.php?id=xwzh
遂溪台,http://php.jdshipin.com:8880/chudian.php?id=sxtv
广州综合,http://php.jdshipin.com:8880/gztv.php?id=zhonghe
广州新闻,http://php.jdshipin.com:8880/gztv.php?id=xinwen
广州法治,http://php.jdshipin.com:8880/gztv.php?id=fazhi
广州竞赛,http://php.jdshipin.com:8880/gztv.php?id=jingsai
广州影视,http://php.jdshipin.com:8880/gztv.php?id=yingshi
